"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
_UncontrolledProviderScopeElement,package:flutter_riverpod/src/framework.dart,1,96,96,0,0,0,0,0,1,96,96,0
SpecificUpdateQuery,package:drift/src/runtime/executor/stream_queries.dart,6,96,96,0,0,0,0,0,6,96,96,0
SqlDialect,package:drift/src/runtime/query_builder/query_builder.dart,2,96,96,0,0,0,0,0,2,96,96,0
_Comparison,package:drift/src/runtime/query_builder/query_builder.dart,3,96,96,0,0,0,0,0,3,96,96,0
AllowedArgumentCount,package:sqlite3/src/functions.dart,5,80,80,0,0,0,0,0,5,80,80,0
StreamKey,package:drift/src/runtime/executor/stream_queries.dart,5,80,80,0,0,0,0,0,5,80,80,0
MultipleUpdateQuery,package:drift/src/runtime/executor/stream_queries.dart,5,80,80,0,0,0,0,0,5,80,80,0
FfiDatabase,package:sqlite3/src/ffi/bindings.dart,2,64,64,0,0,0,0,0,2,64,64,0
FinalizableDatabase,package:sqlite3/src/implementation/database.dart,2,64,64,0,0,0,0,0,2,64,64,0
_ConsumerState,package:flutter_riverpod/src/consumer.dart,2,64,64,0,0,0,0,0,2,64,64,0
AndroidNotificationChannel,package:flutter_local_notifications/src/platform_specifics/android/notification_channel.dart,1,64,64,0,0,0,0,0,1,64,64,0
DarwinInitializationSettings,package:flutter_local_notifications/src/platform_specifics/darwin/initialization_settings.dart,1,64,64,0,0,0,0,0,1,64,64,0
PieChartData,package:fl_chart/src/chart/pie_chart/pie_chart_data.dart,1,64,64,0,0,0,0,0,1,64,64,0
PieTouchData,package:fl_chart/src/chart/pie_chart/pie_chart_data.dart,2,64,64,0,0,0,0,0,2,64,64,0
FirebaseOptions,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,1,64,64,0,0,0,0,0,1,64,64,0
AppDatabase,package:expense_app_new/database/database.dart,1,64,64,0,0,0,0,0,1,64,64,0
$UsersTable,package:expense_app_new/database/database.dart,1,64,64,0,0,0,0,0,1,64,64,0
$ExpensesTable,package:expense_app_new/database/database.dart,1,64,64,0,0,0,0,0,1,64,64,0
_NativeDelegate,package:drift/native.dart,1,64,64,0,0,0,0,0,1,64,64,0
OrderingMode,package:drift/src/runtime/query_builder/query_builder.dart,2,64,64,0,0,0,0,0,2,64,64,0
OrderingTerm,package:drift/src/runtime/query_builder/query_builder.dart,2,64,64,0,0,0,0,0,2,64,64,0
CustomSelectStatement,package:drift/src/runtime/query_builder/query_builder.dart,2,64,64,0,0,0,0,0,2,64,64,0
BindingsWithLibrary,package:sqlite3/src/ffi/bindings.dart,1,48,48,0,0,0,0,0,1,48,48,0
OpenMode,package:sqlite3/src/sqlite3.dart,3,48,48,0,0,0,0,0,3,48,48,0
FutureProviderFamily,package:riverpod/src/future_provider.dart,1,48,48,0,0,0,0,0,1,48,48,0
StateController,package:riverpod/src/state_controller.dart,1,48,48,0,0,0,0,0,1,48,48,0
StateNotifierProvider,package:riverpod/src/state_notifier_provider.dart,1,48,48,0,0,0,0,0,1,48,48,0
StateProvider,package:riverpod/src/state_provider.dart,1,48,48,0,0,0,0,0,1,48,48,0
ProviderScopeState,package:flutter_riverpod/src/framework.dart,1,48,48,0,0,0,0,0,1,48,48,0
_PieChartState,package:fl_chart/src/chart/pie_chart/pie_chart.dart,1,48,48,0,0,0,0,0,1,48,48,0
User,package:expense_app_new/database/database.dart,1,48,48,0,0,0,0,0,1,48,48,0
$ExpenseCategoriesTable,package:expense_app_new/database/database.dart,1,48,48,0,0,0,0,0,1,48,48,0
$AiChatSessionsTable,package:expense_app_new/database/database.dart,1,48,48,0,0,0,0,0,1,48,48,0
ThemeNotifier,package:expense_app_new/providers/theme_provider.dart,1,48,48,0,0,0,0,0,1,48,48,0
NativeDatabase,package:drift/native.dart,1,48,48,0,0,0,0,0,1,48,48,0
Where,package:drift/src/runtime/query_builder/query_builder.dart,3,48,48,0,0,0,0,0,3,48,48,0
FfiBindings,package:sqlite3/src/ffi/bindings.dart,1,32,32,0,0,0,0,0,1,32,32,0
ProviderScope,package:flutter_riverpod/src/framework.dart,1,32,32,0,0,0,0,0,1,32,32,0
UncontrolledProviderScope,package:flutter_riverpod/src/framework.dart,1,32,32,0,0,0,0,0,1,32,32,0
InitializationSettings,package:flutter_local_notifications/src/initialization_settings.dart,1,32,32,0,0,0,0,0,1,32,32,0
AndroidNotificationSoundSource,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,2,32,32,0,0,0,0,0,2,32,32,0
Importance,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
AudioAttributesUsage,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
PieChart,package:fl_chart/src/chart/pie_chart/pie_chart.dart,1,32,32,0,0,0,0,0,1,32,32,0
PieChartDataTween,package:fl_chart/src/chart/pie_chart/pie_chart_data.dart,1,32,32,0,0,0,0,0,1,32,32,0
PieChartPainter,package:fl_chart/src/chart/pie_chart/pie_chart_painter.dart,1,32,32,0,0,0,0,0,1,32,32,0
PieChartLeaf,package:fl_chart/src/chart/pie_chart/pie_chart_renderer.dart,1,32,32,0,1,32,32,0,0,0,0,0
MethodChannelFirebaseApp,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,1,32,32,0,0,0,0,0,1,32,32,0
MethodChannelFirebaseAnalytics,package:firebase_analytics_platform_interface/src/method_channel/method_channel_firebase_analytics.dart,2,32,32,0,0,0,0,0,2,32,32,0
FirebaseAnalyticsHostApi,package:firebase_analytics_platform_interface/src/pigeon/messages.pigeon.dart,2,32,32,0,0,0,0,0,2,32,32,0
FirebaseAnalytics,package:firebase_analytics/firebase_analytics.dart,1,32,32,0,0,0,0,0,1,32,32,0
ThemeState,package:expense_app_new/providers/theme_provider.dart,2,32,32,0,0,0,0,0,2,32,32,0
AuthService,package:expense_app_new/services/auth_service.dart,1,32,32,0,0,0,0,0,1,32,32,0
StreamQueryStore,package:drift/src/runtime/executor/stream_queries.dart,1,32,32,0,0,0,0,0,1,32,32,0
DatabaseConnection,package:drift/src/runtime/api/runtime_api.dart,1,32,32,0,0,0,0,0,1,32,32,0
OrderBy,package:drift/src/runtime/query_builder/query_builder.dart,2,32,32,0,0,0,0,0,2,32,32,0
_ComparisonOperator,package:drift/src/runtime/query_builder/query_builder.dart,1,32,32,0,0,0,0,0,1,32,32,0
MigrationStrategy,package:drift/src/runtime/query_builder/query_builder.dart,1,32,32,0,0,0,0,0,1,32,32,0
SqlTypes,package:drift/src/runtime/types/mapping.dart,2,32,32,0,0,0,0,0,2,32,32,0
LazyDatabase,package:drift/src/utils/lazy_database.dart,1,32,32,0,0,0,0,0,1,32,32,0
Lock,package:drift/src/utils/synchronized.dart,2,32,32,0,0,0,0,0,2,32,32,0
_SymbolAddresses,package:sqlite3/src/ffi/generated/dynamic_library.dart,1,16,16,0,0,0,0,0,1,16,16,0
FfiSqlite3,package:sqlite3/src/ffi/implementation.dart,1,16,16,0,0,0,0,0,1,16,16,0
OpenDynamicLibrary,package:sqlite3/src/ffi/load_library.dart,1,16,16,0,0,0,0,0,1,16,16,0
FutureProviderFamilyBuilder,package:riverpod/src/builders.dart,1,16,16,0,0,0,0,0,1,16,16,0
StreamProviderFamilyBuilder,package:riverpod/src/builders.dart,1,16,16,0,0,0,0,0,1,16,16,0
FlutterLocalNotificationsPlugin,package:flutter_local_notifications/src/flutter_local_notifications_plugin.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidFlutterLocalNotificationsPlugin,package:flutter_local_notifications/src/platform_flutter_local_notifications.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidNotificationChannelAction,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidInitializationSettings,package:flutter_local_notifications/src/platform_specifics/android/initialization_settings.dart,1,16,16,0,0,0,0,0,1,16,16,0
FlBorderData,package:fl_chart/src/chart/base/base_chart/base_chart_data.dart,1,16,16,0,0,0,0,0,1,16,16,0
Utils,package:fl_chart/src/utils/utils.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelFirebase,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,1,16,16,0,0,0,0,0,1,16,16,0
_PigeonCodec,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseCoreHostApi,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseAppHostApi,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseApp,package:firebase_core/firebase_core.dart,1,16,16,0,0,0,0,0,1,16,16,0
_PigeonCodec,package:firebase_analytics_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
MyApp,package:expense_app_new/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
AddExpenseScreen,package:expense_app_new/screens/add_expense_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
AIAssistantScreen,package:expense_app_new/screens/ai_assistant_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
LoginScreen,package:expense_app_new/screens/auth/login_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ProfileSetupScreen,package:expense_app_new/screens/auth/profile_setup_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
SignupScreen,package:expense_app_new/screens/auth/signup_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
BudgetScreen,package:expense_app_new/screens/budget_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
DashboardScreen,package:expense_app_new/screens/dashboard_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ExpenseListScreen,package:expense_app_new/screens/expense_list_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ProfileScreen,package:expense_app_new/screens/profile_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
ReportsScreen,package:expense_app_new/screens/reports_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
SessionService,package:expense_app_new/services/session_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
DriftDatabaseOptions,package:drift/src/runtime/api/options.dart,1,16,16,0,0,0,0,0,1,16,16,0
TrackedDatabase,package:drift/src/runtime/devtools/devtools.dart,1,16,16,0,0,0,0,0,1,16,16,0
DriftServiceExtension,package:drift/src/runtime/devtools/service_extension.dart,1,16,16,0,0,0,0,0,1,16,16,0
NoVersionDelegate,package:drift/src/runtime/executor/helpers/delegates.dart,1,16,16,0,0,0,0,0,1,16,16,0
Limit,package:drift/src/runtime/query_builder/query_builder.dart,1,16,16,0,0,0,0,0,1,16,16,0
_SqliteVersionDelegate,package:drift/src/sqlite3/database.dart,1,16,16,0,0,0,0,0,1,16,16,0
PreparedStatementsCache,package:drift/src/sqlite3/database.dart,1,16,16,0,0,0,0,0,1,16,16,0
DatabaseTracker,package:drift/src/sqlite3/database_tracker.dart,1,16,16,0,0,0,0,0,1,16,16,0
